cipher,metric,mean,std,ci_lower,ci_upper,ci_width,relative_ci_width
PRESENT-80,encryption_time_ms,15.163017335580662,12.46580986241638,-22.763397924544982,53.089432595706306,75.85283052025129,500.24892039303694
PRESENT-80,decryption_time_ms,17.673127327191953,14.953127926704553,-27.820791274583353,63.167045928967255,90.98783720355061,514.8372187844554
PRESENT-80,throughput_mbps,0.007731322847187023,0.0003769412006732156,0.006584503774606401,0.008878141919767645,0.002293638145161244,29.666826628456793
PRESENT-128,encryption_time_ms,16.196970329619944,12.952841879127678,-23.211208146424724,55.60514880566461,78.81635695208934,486.61172644093324
PRESENT-128,decryption_time_ms,24.516849329617497,22.22270636385111,-43.094288579707225,92.12798723894223,135.22227581864945,551.5483413086633
PRESENT-128,throughput_mbps,0.003347385403369719,0.0022220351486634234,-0.0034130119314945166,0.010107782738233956,0.013520794669728473,403.92106197623576
SIMON-64/128,encryption_time_ms,2.1653579990379512,1.5923223831347026,-2.679179226965701,7.009895225041603,9.689074452007304,447.4583166530463
SIMON-64/128,decryption_time_ms,2.3481619994466505,2.0169473290898274,-3.788268991009202,8.484592989902502,12.272861980911705,522.658231578734
SIMON-64/128,throughput_mbps,0.04913293398447952,0.005774606145175504,0.031564070585888705,0.06670179738307033,0.03513772679718163,71.51562902447714
SPECK-64/128,encryption_time_ms,0.9596300020348281,0.8157514108237527,-1.5222405781681223,3.4415005822377784,4.963741160405901,517.255728758025
SPECK-64/128,decryption_time_ms,0.8389409976856163,0.6823043437728136,-1.2369255654434932,2.914807560814726,4.151733126258219,494.8778445339531
SPECK-64/128,throughput_mbps,0.12637519011767914,0.0175087737303714,0.07310588547380692,0.17964449476155137,0.10653860928774445,84.30342157233306
GIFT-64/128,encryption_time_ms,12.290754670199627,10.340647660623219,-19.169992891645663,43.75150223204491,62.921495123690576,511.94167333150915
GIFT-64/128,decryption_time_ms,13.89071066553394,11.845742808041873,-22.149190934197087,49.93061226526496,72.07980319946205,518.9065191481433
GIFT-64/128,throughput_mbps,0.0091331387692518,0.00026843185637856053,0.008316452315148748,0.009949825223354853,0.001633372908206105,17.884025957265877
TinyJambu-128,encryption_time_ms,2.6048433342172452,0.12296369283834738,2.230734300951298,2.9789523674831924,0.7482180665318943,28.72411007231395
TinyJambu-128,decryption_time_ms,2.77255533534723,0.28282247072437877,1.912086373605157,3.633024297089303,1.7209379234841462,62.070462635820356
TinyJambu-128,throughput_mbps,0.040025605439549736,0.03378736592811693,-0.06277025659256932,0.1428214674716688,0.20559172406423812,513.6505039873568
