cipher,metric,mean,median,std,variance,min,max,range,q1,q3,iqr,skewness,kurtosis,cv
PRESENT-80,encryption_time_ms,14.152753001156574,8.493417992722243,12.344493292250135,152.38651464240857,2.6800180005375296,31.284823010209948,28.60480500967242,5.586717996629886,19.889120501466095,14.30240250483621,0.5913197732692196,-1.5000000000000004,87.22326526324125
PRESENT-80,decryption_time_ms,16.69697166304104,10.043357998365536,14.566720524968986,212.18934685255272,3.139433995820582,36.908122994937,33.76868899911642,6.591395997093059,23.47574049665127,16.88434449955821,0.5898534039703216,-1.5000000000000002,87.24169160095424
PRESENT-80,throughput_mbps,0.008144790029585038,0.008125888799239828,8.547770697197282e-05,7.30643838918645e-09,0.008050839894265407,0.00825764139524988,0.00020680150098447217,0.008088364346752617,0.008191765097244855,0.00010340075049223782,0.3208748761493367,-1.5000000000000004,1.0494771094341857
PRESENT-80,memory_peak_kb,5.8505859375,5.7109375,0.27322466605277135,0.07465171813964844,5.6083984375,6.232421875,0.6240234375,5.65966796875,5.9716796875,0.31201171875,0.6331474969639307,-1.5,4.670039359673474
PRESENT-80,process_cpu_util_percent,99.6544076901683,99.74116171425081,1.1044539230101231,1.2198184680524509,98.26044450666006,100.961616849594,2.70117234293393,99.00080311045544,100.3513892819224,1.3505861714669578,-0.11733922299929041,-1.499999999999996,1.1082840675185572
PRESENT-128,encryption_time_ms,13.7827310024295,8.408150998875499,11.798136621862648,139.19602774813657,2.790494003565982,30.14954800484702,27.359054001281038,5.59932250122074,19.27884950186126,13.679527000640519,0.5887820740840409,-1.4999999999999996,85.6008625560709
PRESENT-128,decryption_time_ms,16.926667000322293,10.810333997942507,14.315760933071436,204.94101109285438,3.2709360029548407,36.69873100006953,33.42779499711469,7.040635000448674,23.754532499006018,16.713897498557344,0.562878643710736,-1.5000000000000002,84.57519092683076
PRESENT-128,throughput_mbps,0.008122276098747888,0.008269635201832968,0.0002138379791618764,4.5726681332035086e-08,0.007819895884653786,0.00827729720975691,0.0004574013251031229,0.008044765543243376,0.008273466205794939,0.0002287006625515623,-0.7064259756918757,-1.5000000000000002,2.63273467390306
PRESENT-128,memory_peak_kb,5.818033854166667,5.62109375,0.29033356231435165,0.0842935774061415,5.6044921875,6.228515625,0.6240234375,5.61279296875,5.9248046875,0.31201171875,0.7053731724988992,-1.500000000000003,4.990235010516915
PRESENT-128,process_cpu_util_percent,98.1305556405634,99.85244802995076,3.1427056683399615,9.876598917816123,93.72119947431182,100.81801941742764,7.096819943115818,96.78682375213128,100.3352337236892,3.5484099715579163,-0.6573742368590537,-1.5000000000000044,3.2025760455807384
SIMON-64/128,encryption_time_ms,1.978443997989719,1.18883200106211,1.626156282187095,2.6443842540965545,0.5026989942416549,4.243800998665392,3.7411020044237375,0.8457654976518825,2.7163164998637512,1.8705510022118688,0.6138678217281522,-1.4999999999999996,82.19369786758783
SIMON-64/128,decryption_time_ms,2.1202623355202377,1.1938679998274893,1.8416482215738537,3.3916681720261384,0.4754160006996244,4.691503006033599,4.216087005333975,0.8346420002635568,2.9426855029305443,2.1080435026669875,0.6272546902445877,-1.4999999999999998,86.85945086705405
SIMON-64/128,throughput_mbps,0.05597911097164309,0.05713428150967482,0.005250981208105171,2.7572803647873644e-05,0.04904870024910986,0.06175435115614458,0.012705650907034724,0.05309149087939234,0.0594443163329097,0.006352825453517355,-0.3193403049865542,-1.4999999999999987,9.380251163268957
SIMON-64/128,memory_peak_kb,6.232096354166667,6.12109375,0.2362801439182898,0.05582830641004774,6.0146484375,6.560546875,0.5458984375,6.06787109375,6.3408203125,0.27294921875,0.6010030742106506,-1.5000000000000029,3.7913429204334617
SIMON-64/128,process_cpu_util_percent,97.21742170448942,96.83347780418829,0.8605184537418571,0.7404920092302767,96.40930449615881,98.40948281312116,2.000178316962348,96.62139115017355,97.62148030865472,1.000089158481174,0.5804436734353737,-1.5000000000000127,0.8851484010320333
SPECK-64/128,encryption_time_ms,0.914662666230773,0.7027099968399853,0.6243559066224263,0.389820298134312,0.2783200016710907,1.7629580001812428,1.484637998510152,0.490514999255538,1.232833998510614,0.742318999255076,0.47008926848508154,-1.5000000000000004,68.26078396698209
SPECK-64/128,decryption_time_ms,0.9263776665708671,0.5237699998542666,0.7700749272167892,0.5930153935279431,0.25135200121439993,2.0040109986439347,1.7526589974295348,0.3875610005343333,1.2638904992491007,0.8763294987147674,0.6413194211585456,-1.4999999999999998,83.12753588580594
SPECK-64/128,throughput_mbps,0.11811819740317205,0.10906925670351153,0.015706697179710825,0.0002467003362951359,0.1050745714246227,0.1402107640813819,0.035136192656759185,0.10707191406406712,0.12464001039244671,0.017568096328379593,0.6729575058349099,-1.5000000000000007,13.2974406357551
SPECK-64/128,memory_peak_kb,6.28125,6.28125,0.0,0.0,6.28125,6.28125,0.0,6.28125,6.28125,0.0,,,0.0
SPECK-64/128,process_cpu_util_percent,97.33289112059896,98.40985666698778,2.7107022048768448,7.347906443524188,93.60819294756025,99.98062374724881,6.3724307996885585,96.00902480727402,99.1952402071183,3.1862153998442864,-0.5332386198897495,-1.4999999999999925,2.7849806716602994
GIFT-64/128,encryption_time_ms,12.112186001613736,7.330972997006029,10.501118637237518,110.27349263333713,2.32637100154534,26.67921400628984,24.3528430047445,4.828671999275684,17.005093501647934,12.17642150237225,0.5885716690788132,-1.5000000000000002,86.69878943271205
GIFT-64/128,decryption_time_ms,13.150636332963282,7.739134002476931,11.371863323228318,129.31927544218541,2.740914000896737,28.97186099551618,26.230946994619444,5.240024001686834,18.355497498996556,13.115473497309722,0.6060412688058473,-1.4999999999999998,86.47386358577717
GIFT-64/128,throughput_mbps,0.009604863647053789,0.009468686982125133,0.0007676624850121239,5.893056908949894e-07,0.008740187018078651,0.01060571694095758,0.001865529922878929,0.009104437000101892,0.010037201961541356,0.0009327649614394636,0.26050489285602973,-1.500000000000001,7.9924350123137655
GIFT-64/128,memory_peak_kb,5.917317708333333,5.828125,0.12613753778978778,0.015910678439670138,5.828125,6.095703125,0.267578125,5.828125,5.9619140625,0.1337890625,0.7071067811865545,-1.4999999999999933,2.131667488668875
GIFT-64/128,process_cpu_util_percent,98.44003268596094,99.65517317760457,1.8791612004804048,3.531246817390956,95.78564896176293,99.87927591851535,4.093626956752416,97.72041106968375,99.76722454805996,2.046813478376208,-0.699571783089439,-1.5000000000000069,1.908940041167217
TinyJambu-128,encryption_time_ms,2.8737946634646505,2.834368998883292,0.11469269276055981,0.013154413772668168,2.757250997237861,3.0297639942727983,0.27251299703493714,2.7958099980605766,2.932066496578045,0.13625649851746857,0.4750066173280396,-1.5000000000000002,3.9909842626781886
TinyJambu-128,decryption_time_ms,2.757056667469442,2.870683999499306,0.23186980955662556,0.05376360858382581,2.433855999261141,2.9666300036478788,0.5327740043867379,2.6522699993802235,2.9186570015735924,0.26638700219336897,-0.6173884074073926,-1.4999999999999998,8.410048741197864
TinyJambu-128,throughput_mbps,0.04097223011957583,0.023732982852079733,0.034963137247028646,0.0012224209661545618,0.009457856762375667,0.08972585074427207,0.08026799398189641,0.0165954198072277,0.056729416798175905,0.040133996990948204,0.619730204416597,-1.5000000000000002,85.33374225662142
TinyJambu-128,memory_peak_kb,4.90234375,4.80859375,0.13258252147247765,0.017578125,4.80859375,5.08984375,0.28125,4.80859375,4.94921875,0.140625,0.7071067811865475,-1.5,2.7044721511517356
TinyJambu-128,process_cpu_util_percent,97.84319720850739,98.36323575262058,0.772409904383261,0.5966170603893584,96.75125514853025,98.41510072437137,1.6638455758411226,97.55724545057541,98.38916823849598,0.8319227879205755,-0.7047164236563993,-1.500000000000034,0.7894364926947629
